origin_id,origin,province,dest_id,destination,one_way_km,round_trip_km
karachi,Karachi,Sindh,murree,Murree,1594,3188
karachi,Karachi,Sindh,nathiagali,Nathia Gali,1614,3228
karachi,Karachi,Sindh,naran,Naran & Kaghan,1931,3862
karachi,Karachi,Sindh,swat,Swat & Kalam,1946,3892
karachi,Karachi,Sindh,neelum,Neelum Valley,2095,4190
karachi,Karachi,Sindh,gorakh,Gorakh Hill,365,730
karachi,Karachi,Sindh,kundmalir,Kund Malir & Hingol,227,454
karachi,Karachi,Sindh,hunza,Hunza (Karimabad),1982,3964
karachi,Karachi,Sindh,skardu,Skardu,2138,4276
karachi,Karachi,Sindh,gilgit,Gilgit,1909,3818
karachi,Karachi,Sindh,chitral,Chitral & Kalash,2153,4306
karachi,Karachi,Sindh,astore,Astore Valley,2294,4588
karachi,Karachi,Sindh,fairymeadows,Fairy Meadows,2273,4546
karachi,Karachi,Sindh,deosai,Deosai Plains,2285,4570
karachi,Karachi,Sindh,khunjerab,Khunjerab Pass,2099,4198
hyderabad,Hyderabad,Sindh,murree,Murree,1436,2872
hyderabad,Hyderabad,Sindh,nathiagali,Nathia Gali,1457,2914
hyderabad,Hyderabad,Sindh,naran,Naran & Kaghan,1760,3520
hyderabad,Hyderabad,Sindh,swat,Swat & Kalam,1789,3578
hyderabad,Hyderabad,Sindh,neelum,Neelum Valley,1902,3804
hyderabad,Hyderabad,Sindh,gorakh,Gorakh Hill,316,632
hyderabad,Hyderabad,Sindh,kundmalir,Kund Malir & Hingol,388,776
hyderabad,Hyderabad,Sindh,hunza,Hunza (Karimabad),1828,3656
hyderabad,Hyderabad,Sindh,skardu,Skardu,1954,3908
hyderabad,Hyderabad,Sindh,gilgit,Gilgit,1756,3512
hyderabad,Hyderabad,Sindh,chitral,Chitral & Kalash,1993,3986
hyderabad,Hyderabad,Sindh,astore,Astore Valley,2098,4196
hyderabad,Hyderabad,Sindh,fairymeadows,Fairy Meadows,2080,4160
hyderabad,Hyderabad,Sindh,deosai,Deosai Plains,2081,4162
hyderabad,Hyderabad,Sindh,khunjerab,Khunjerab Pass,1942,3884
sukkur,Sukkur,Sindh,murree,Murree,1099,2198
sukkur,Sukkur,Sindh,nathiagali,Nathia Gali,1119,2238
sukkur,Sukkur,Sindh,naran,Naran & Kaghan,1382,2764
sukkur,Sukkur,Sindh,swat,Swat & Kalam,1402,2804
sukkur,Sukkur,Sindh,neelum,Neelum Valley,1491,2982
sukkur,Sukkur,Sindh,gorakh,Gorakh Hill,300,600
sukkur,Sukkur,Sindh,kundmalir,Kund Malir & Hingol,557,1114
sukkur,Sukkur,Sindh,hunza,Hunza (Karimabad),1487,2974
sukkur,Sukkur,Sindh,skardu,Skardu,1590,3180
sukkur,Sukkur,Sindh,gilgit,Gilgit,1415,2830
sukkur,Sukkur,Sindh,chitral,Chitral & Kalash,1563,3126
sukkur,Sukkur,Sindh,astore,Astore Valley,1689,3378
sukkur,Sukkur,Sindh,fairymeadows,Fairy Meadows,1669,3338
sukkur,Sukkur,Sindh,deosai,Deosai Plains,1682,3364
sukkur,Sukkur,Sindh,khunjerab,Khunjerab Pass,1604,3208
lahore,Lahore,Punjab,murree,Murree,379,758
lahore,Lahore,Punjab,nathiagali,Nathia Gali,402,804
lahore,Lahore,Punjab,naran,Naran & Kaghan,574,1148
lahore,Lahore,Punjab,swat,Swat & Kalam,707,1414
lahore,Lahore,Punjab,neelum,Neelum Valley,567,1134
lahore,Lahore,Punjab,gorakh,Gorakh Hill,1420,2840
lahore,Lahore,Punjab,kundmalir,Kund Malir & Hingol,1474,2948
lahore,Lahore,Punjab,hunza,Hunza (Karimabad),721,1442
lahore,Lahore,Punjab,skardu,Skardu,654,1308
lahore,Lahore,Punjab,gilgit,Gilgit,661,1322
lahore,Lahore,Punjab,chitral,Chitral & Kalash,886,1772
lahore,Lahore,Punjab,astore,Astore Valley,710,1420
lahore,Lahore,Punjab,fairymeadows,Fairy Meadows,711,1422
lahore,Lahore,Punjab,deosai,Deosai Plains,653,1306
lahore,Lahore,Punjab,khunjerab,Khunjerab Pass,811,1622
faisalabad,Faisalabad,Punjab,murree,Murree,370,740
faisalabad,Faisalabad,Punjab,nathiagali,Nathia Gali,395,790
faisalabad,Faisalabad,Punjab,naran,Naran & Kaghan,581,1162
faisalabad,Faisalabad,Punjab,swat,Swat & Kalam,678,1356
faisalabad,Faisalabad,Punjab,neelum,Neelum Valley,588,1176
faisalabad,Faisalabad,Punjab,gorakh,Gorakh Hill,1261,2522
faisalabad,Faisalabad,Punjab,kundmalir,Kund Malir & Hingol,1344,2688
faisalabad,Faisalabad,Punjab,hunza,Hunza (Karimabad),754,1508
faisalabad,Faisalabad,Punjab,skardu,Skardu,730,1460
